name,code,average income,median age
"Lansing-East Lansing, MI Metro Area",31000US29620,50421.0,35.0
"Laramie, WY",31000US29660,42834.0,26.6
"Laredo, TX",31000US29700,38862.0,28.3
"Las Cruces, NM",31000US29740,38853.0,32.4
"Las Vegas, NM",31000US29780,29237.0,42.5
"Las Vegas-Henderson-Paradise, NV Metro Area",31000US29820,51575.0,36.4
"Laurel, MS",31000US29860,36032.0,37.5
"Laurinburg, NC",31000US29900,30958.0,39.1
"Lawrence, KS",31000US29940,50939.0,28.8
"Lawrenceburg, TN",31000US29980,37814.0,39.9
"Lawton, OK",31000US30020,46245.0,32.0
"Lebanon, MO",31000US30060,39712.0,39.8
"Lebanon, PA",31000US30140,55499.0,41.1
"Levelland, TX",31000US30220,50665.0,32.8
"Lewisburg, PA",31000US30260,49803.0,38.6
"Lewisburg, TN",31000US30280,42661.0,39.4
"Lewiston, ID-WA",31000US30300,47060.0,42.6
"Lewiston-Auburn, ME",31000US30340,47537.0,40.6
"Lewistown, PA",31000US30380,41288.0,43.5
"Lexington, NE",31000US30420,48739.0,37.0
"Lexington-Fayette, KY Metro Area",31000US30460,50921.0,35.6
"Liberal, KS",31000US30580,47134.0,29.4
"Lima, OH",31000US30620,44103.0,38.1
"Lincoln, IL",31000US30660,50539.0,39.7
"Lincoln, NE",31000US30700,52177.0,33.1
"Little Rock-North Little Rock-Conway, AR Metro Area",31000US30780,49112.0,36.2
"Lock Haven, PA",31000US30820,45078.0,38.1
"Logan, UT-ID",31000US30860,50300.0,25.5
"Logan, WV Micro Area",31000US30880,36763.0,42.6
"Logansport, IN",31000US30900,42290.0,40.1
"London, KY",31000US30940,32428.0,38.3
"Longview, TX",31000US30980,47066.0,37.2
"Longview, WA",31000US31020,47452.0,41.2
"Los Alamos, NM",31000US31060,101934.0,43.5
"Los Angeles-Long Beach-Anaheim, CA Metro Area",31000US31080,60705.0,35.9
"Louisville/Jefferson County, KY-IN Metro Area",31000US31140,51205.0,38.6
"Lubbock, TX",31000US31180,45807.0,30.9
"Ludington, MI Micro Area",31000US31220,42024.0,45.7
"Lufkin, TX",31000US31260,44223.0,36.4
"Lumberton, NC",31000US31300,30608.0,35.2
"Lynchburg, VA",31000US31340,47770.0,39.9
"Macomb, IL",31000US31380,40314.0,30.7
"Macon, GA",31000US31420,39501.0,37.7
"Madera, CA Metro Area",31000US31460,45073.0,33.5
"Madison, IN",31000US31500,45718.0,40.7
"Madison, WI Metro Area",31000US31540,61886.0,35.8
"Madisonville, KY",31000US31580,42346.0,40.8
"Magnolia, AR",31000US31620,36619.0,36.0
"Malone, NY",31000US31660,47923.0,39.8
"Malvern, AR Micro Area",31000US31680,40000.0,40.9
"Manchester-Nashua, NH Metro Area",31000US31700,71244.0,40.1
"Manhattan, KS",31000US31740,48158.0,26.0
"Manitowoc, WI",31000US31820,48398.0,44.2
"Mankato-North Mankato, MN",31000US31860,53437.0,31.8
"Mansfield, OH",31000US31900,41877.0,41.3
"Marietta, OH Micro Area",31000US31930,43509.0,43.6
"Marinette, WI-MI",31000US31940,42056.0,47.3
"Marion, IN",31000US31980,40294.0,40.0
"Marion, NC Micro Area",31000US32000,35965.0,43.1
"Marion, OH",31000US32020,42966.0,40.4
"Marquette, MI",31000US32100,45409.0,39.1
"Marshall, MN",31000US32140,51600.0,35.1
"Marshall, MO",31000US32180,40101.0,38.2
"Marshall, TX",31000US32220,45974.0,37.5
"Marshalltown, IA",31000US32260,53351.0,38.9
"Martin, TN",31000US32280,37037.0,36.9
"Martinsville, VA",31000US32300,34382.0,45.3
"Maryville, MO",31000US32340,35854.0,28.3
"Mason City, IA",31000US32380,46334.0,44.3
"Mayfield, KY",31000US32460,39530.0,40.3
"Maysville, KY",31000US32500,38824.0,41.1
"McAlester, OK",31000US32540,42576.0,40.7
"McAllen-Edinburg-Mission, TX Metro Area",31000US32580,34782.0,28.8
"McComb, MS",31000US32620,31425.0,39.1
"McMinnville, TN",31000US32660,35376.0,39.7
"McPherson, KS",31000US32700,56128.0,42.0
"Meadville, PA",31000US32740,44579.0,42.4
"Medford, OR",31000US32780,44028.0,42.8
"Memphis, TN-MS-AR Metro Area",31000US32820,47552.0,35.5
"Menomonie, WI",31000US32860,49788.0,34.1
"Merced, CA",31000US32900,42462.0,30.4
"Meridian, MS",31000US32940,36398.0,38.2
"Merrill, WI",31000US32980,49721.0,46.1
"Mexico, MO",31000US33020,41310.0,39.2
"Miami, OK",31000US33060,36347.0,38.5
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",31000US33100,48745.0,40.4
"Michigan City-La Porte, IN",31000US33140,46872.0,39.9
"Middlesborough, KY",31000US33180,22443.0,41.1
"Midland, MI Metro Area",31000US33220,54059.0,40.9
"Midland, TX",31000US33260,68470.0,32.1
"Milledgeville, GA",31000US33300,30791.0,35.8
"Milwaukee-Waukesha-West Allis, WI Metro Area",31000US33340,54336.0,37.3
"Mineral Wells, TX",31000US33420,39516.0,41.2
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",31000US33460,68778.0,36.6
"Minot, ND",31000US33500,61213.0,32.1
"Missoula, MT",31000US33540,46164.0,34.8
"Mitchell, SD",31000US33580,51245.0,37.8
"Moberly, MO",31000US33620,37832.0,38.4
"Mobile, AL Metro Area",31000US33660,43809.0,37.0
"Modesto, CA Metro Area",31000US33700,50125.0,33.5
"Monroe, LA",31000US33740,37235.0,35.4
"Monroe, MI",31000US33780,55653.0,41.7
"Montgomery, AL Metro Area",31000US33860,46523.0,36.2
"Montrose, CO",31000US33940,43999.0,44.2
"Morehead City, NC",31000US33980,48457.0,46.4
"Morgan City, LA",31000US34020,40781.0,37.7
"Morgantown, WV",31000US34060,45317.0,32.8
"Morristown, TN",31000US34100,39772.0,41.0
"Moscow, ID",31000US34140,42439.0,28.5
"Moses Lake, WA",31000US34180,48714.0,32.2
"Moultrie, GA",31000US34220,32409.0,35.5
"Mountain Home, AR",31000US34260,35396.0,51.5
"Mountain Home, ID",31000US34300,43848.0,30.8
"Mount Airy, NC",31000US34340,36164.0,42.7
"Mount Pleasant, MI",31000US34380,39377.0,26.3
"Mount Pleasant, TX",31000US34420,44178.0,33.8
"Mount Sterling, KY",31000US34460,35987.0,39.6
"Mount Vernon, IL",31000US34500,43247.0,40.7
"Mount Vernon, OH",31000US34540,48533.0,38.7
"Mount Vernon-Anacortes, WA",31000US34580,54129.0,41.0
"Muncie, IN",31000US34620,38830.0,34.8
"Murray, KY",31000US34660,37034.0,33.7
"Muscatine, IA",31000US34700,53676.0,38.2
"Muskegon, MI Metro Area",31000US34740,42829.0,39.1
"Muskogee, OK",31000US34780,39984.0,37.8
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",31000US34820,44286.0,45.0
"Nacogdoches, TX",31000US34860,39538.0,30.2
"Napa, CA",31000US34900,71379.0,40.3
"Naples-Immokalee-Marco Island, FL Metro Area",31000US34940,57452.0,48.5
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",31000US34980,54047.0,36.2
"Natchez, MS-LA",31000US35020,29088.0,39.9
"Natchitoches, LA",31000US35060,31345.0,33.8
"New Bern, NC Metro Area",31000US35100,46445.0,38.0
"Newberry, SC",31000US35140,40127.0,40.9
"New Castle, IN",31000US35220,41855.0,42.2
"New Castle, PA",31000US35260,44571.0,44.4
"New Haven-Milford, CT Metro Area",31000US35300,61640.0,39.8
"New Orleans-Metairie, LA Metro Area",31000US35380,47163.0,37.4
"New Philadelphia-Dover, OH",31000US35420,45310.0,41.0
"Newport, OR Micro Area",31000US35440,42101.0,50.4
"Newport, TN",31000US35460,31187.0,44.3
"Newton, IA",31000US35500,55033.0,42.2
"New Ulm, MN",31000US35580,52598.0,43.5
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",31000US35620,67296.0,37.9
"Niles-Benton Harbor, MI",31000US35660,44993.0,41.4
"Nogales, AZ",31000US35700,40140.0,36.5
"Norfolk, NE",31000US35740,51361.0,38.3
"North Platte, NE",31000US35820,50196.0,40.2
"North Port-Sarasota-Bradenton, FL Metro Area",31000US35840,50921.0,50.7
"North Vernon, IN",31000US35860,44736.0,39.4
"North Wilkesboro, NC",31000US35900,33232.0,43.7
"Norwalk, OH",31000US35940,48745.0,38.8
"Norwich-New London, CT",31000US35980,66233.0,40.7
"Oak Harbor, WA",31000US36020,58815.0,44.0
"Ocala, FL Metro Area",31000US36100,39459.0,48.2
"Ocean City, NJ",31000US36140,57637.0,48.3
"Odessa, TX",31000US36220,57150.0,30.7
"Ogden-Clearfield, UT Metro Area",31000US36260,63772.0,31.0
"Ogdensburg-Massena, NY",31000US36300,44705.0,37.8
"Oil City, PA",31000US36340,43644.0,45.4
"Okeechobee, FL",31000US36380,35405.0,39.9
"Oklahoma City, OK Metro Area",31000US36420,51461.0,34.7
"Olean, NY",31000US36460,42601.0,41.4
"Olympia-Tumwater, WA Metro Area",31000US36500,61677.0,38.5
"Omaha-Council Bluffs, NE-IA Metro Area",31000US36540,58249.0,35.0
"Oneonta, NY",31000US36580,48588.0,41.6
"Ontario, OR-ID",31000US36620,39652.0,36.8
"Opelousas, LA Micro Area",31000US36660,32625.0,36.6
"Orangeburg, SC",31000US36700,34218.0,38.7
"Orlando-Kissimmee-Sanford, FL Metro Area",31000US36740,48768.0,36.7
"Oshkosh-Neenah, WI",31000US36780,52018.0,37.7
"Oskaloosa, IA",31000US36820,48726.0,39.8
"Othello, WA Micro Area",31000US36830,46564.0,28.9
"Ottawa, KS Micro Area",31000US36840,51081.0,39.0
"Ottawa-Peru, IL Micro Area",31000US36860,50717.0,42.2
"Ottumwa, IA",31000US36900,43138.0,39.5
"Owatonna, MN",31000US36940,57858.0,39.8
"Owensboro, KY",31000US36980,45939.0,39.5
"Owosso, MI",31000US37020,48233.0,41.5
"Oxford, MS",31000US37060,44643.0,28.5
"Oxford, NC Micro Area",31000US37080,50225.0,41.4
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",31000US37100,77348.0,37.1
"Ozark, AL Micro Area",31000US37120,45028.0,36.8
"Paducah, KY-IL",31000US37140,43222.0,43.0
"Pahrump, NV",31000US37220,41712.0,50.8
"Palatka, FL",31000US37260,31715.0,44.1
"Palestine, TX",31000US37300,41327.0,38.9
"Palm Bay-Melbourne-Titusville, FL Metro Area",31000US37340,48925.0,46.6
"Pampa, TX",31000US37420,43288.0,37.0
"Panama City, FL Metro Area",31000US37460,47003.0,40.1
"Paragould, AR",31000US37500,41286.0,38.3
"Paris, TN",31000US37540,38234.0,44.9
"Paris, TX",31000US37580,40748.0,40.3
"Parkersburg-Vienna, WV Metro Area",31000US37620,41693.0,42.6
"Parsons, KS",31000US37660,41439.0,40.6
"Payson, AZ",31000US37740,39751.0,48.6
"Pecos, TX",31000US37780,43540.0,35.6
"Pensacola-Ferry Pass-Brent, FL Metro Area",31000US37860,49860.0,38.1
"Peoria, IL Metro Area",31000US37900,54860.0,38.8
"Peru, IN",31000US37940,45184.0,40.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",31000US37980,62513.0,38.3
"Phoenix-Mesa-Scottsdale, AZ Metro Area",31000US38060,53723.0,35.8
"Picayune, MS",31000US38100,40976.0,40.7
"Pierre, SD",31000US38180,58827.0,39.8
"Pine Bluff, AR",31000US38220,36963.0,38.8
"Pinehurst-Southern Pines, NC Micro Area",31000US38240,50998.0,45.1
"Pittsburg, KS",31000US38260,36534.0,32.6
"Pittsburgh, PA Metro Area",31000US38300,52499.0,42.8
"Pittsfield, MA",31000US38340,49956.0,45.8
"Plainview, TX",31000US38380,43375.0,32.5
"Platteville, WI",31000US38420,49067.0,36.1
"Plattsburgh, NY",31000US38460,49930.0,39.4
"Plymouth, IN",31000US38500,48485.0,39.5
"Pocatello, ID",31000US38540,43779.0,32.7
"Point Pleasant, WV-OH",31000US38580,36850.0,42.0
"Ponca City, OK",31000US38620,42134.0,38.8
"Pontiac, IL",31000US38700,54254.0,41.3
"Poplar Bluff, MO",31000US38740,35738.0,40.0
"Portales, NM",31000US38780,35546.0,29.4
"Port Angeles, WA",31000US38820,47253.0,50.1
"Port Clinton, OH Micro Area",31000US38840,53914.0,47.3
"Portland-South Portland, ME Metro Area",31000US38860,58584.0,42.9
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",31000US38900,60286.0,37.5
"Port Lavaca, TX Micro Area",31000US38920,51078.0,38.1
"Port St. Lucie, FL Metro Area",31000US38940,46293.0,46.4
"Portsmouth, OH",31000US39020,35903.0,39.5
"Pottsville, PA",31000US39060,45535.0,43.8
"Prescott, AZ",31000US39140,44748.0,51.3
"Price, UT",31000US39220,46900.0,35.1
"Prineville, OR",31000US39260,37106.0,48.1
"Providence-Warwick, RI-MA Metro Area",31000US39300,56849.0,40.1
"Provo-Orem, UT Metro Area",31000US39340,61913.0,24.5
"Pueblo, CO",31000US39380,41286.0,38.8
"Pullman, WA",31000US39420,36631.0,24.2
"Punta Gorda, FL",31000US39460,44244.0,57.3
"Quincy, IL-MO",31000US39500,45726.0,40.4
"Racine, WI",31000US39540,55584.0,39.7
"Raleigh, NC Metro Area",31000US39580,63363.0,35.8
"Rapid City, SD",31000US39660,51244.0,37.8
"Raymondville, TX",31000US39700,26495.0,32.3
"Reading, PA Metro Area",31000US39740,55936.0,39.7
"Red Bluff, CA",31000US39780,41001.0,40.5
"Redding, CA",31000US39820,44620.0,42.2
"Red Wing, MN",31000US39860,57062.0,43.0
"Reno, NV Metro Area",31000US39900,53030.0,37.8
"Rexburg, ID",31000US39940,37272.0,24.1
"Richmond, IN",31000US39980,38494.0,40.9
"Richmond, VA Metro Area",31000US40060,59919.0,38.2
"Richmond-Berea, KY",31000US40080,40828.0,35.4
"Rio Grande City, TX Micro Area",31000US40100,26172.0,29.1
"Riverside-San Bernardino-Ontario, CA Metro Area",31000US40140,55092.0,33.5
"Riverton, WY",31000US40180,52773.0,38.2
"Roanoke, VA",31000US40220,50340.0,42.1
"Roanoke Rapids, NC",31000US40260,31724.0,43.6
"Rochelle, IL",31000US40300,54849.0,41.5
"Rochester, MN",31000US40340,64897.0,38.0
"Rochester, NY Metro Area",31000US40380,52483.0,39.7
"Rockford, IL Metro Area",31000US40420,49987.0,39.0
"Rockingham, NC",31000US40460,32687.0,39.9
"Rock Springs, WY",31000US40540,69022.0,33.6
"Rocky Mount, NC",31000US40580,39061.0,40.6
"Rolla, MO",31000US40620,41618.0,34.4
"Rome, GA",31000US40660,41549.0,38.0
"Roseburg, OR",31000US40700,41312.0,46.9
"Roswell, NM",31000US40740,40630.0,34.8
"Russellville, AR",31000US40780,39071.0,36.5
"Ruston, LA",31000US40820,33467.0,27.4
"Rutland, VT",31000US40860,49372.0,45.5
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",31000US40900,60003.0,36.6
"Safford, AZ",31000US40940,45964.0,32.0
"Saginaw, MI Metro Area",31000US40980,43042.0,40.3
"St. Cloud, MN",31000US41060,55603.0,34.3
"St. George, UT",31000US41100,50774.0,34.6
"St. Joseph, MO-KS",31000US41140,47140.0,38.1
"St. Louis, MO-IL Metro Area",31000US41180,55066.0,38.7
"St. Marys, GA",31000US41220,52473.0,31.6
"Salem, OH Micro Area",31000US41400,44497.0,43.2
"Salem, OR Metro Area",31000US41420,49583.0,36.1
"Salina, KS",31000US41460,48123.0,38.0
"Salinas, CA Metro Area",31000US41500,58783.0,33.5
"Salisbury, MD-DE Metro Area",31000US41540,52908.0,43.6
"Salt Lake City, UT Metro Area",31000US41620,62192.0,31.8
"San Angelo, TX",31000US41660,46887.0,34.0
"San Antonio-New Braunfels, TX Metro Area",31000US41700,53122.0,34.3
"San Diego-Carlsbad, CA Metro Area",31000US41740,64309.0,35.1
"Sandpoint, ID Micro Area",31000US41760,42171.0,47.2
"Sandusky, OH Micro Area",31000US41780,48011.0,44.0
"Sanford, NC",31000US41820,45608.0,37.5
"San Francisco-Oakland-Hayward, CA Metro Area",31000US41860,81552.0,38.7
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",31000US41940,95405.0,36.7
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",31000US42020,60691.0,39.3
"Santa Cruz-Watsonville, CA",31000US42100,67256.0,37.0
"Santa Fe, NM",31000US42140,54315.0,44.4
"Santa Maria-Santa Barbara, CA Metro Area",31000US42200,63985.0,33.6
"Santa Rosa, CA Metro Area",31000US42220,64240.0,40.8
"Sault Ste. Marie, MI",31000US42300,41993.0,39.0
"Savannah, GA Metro Area",31000US42340,50618.0,34.6
"Sayre, PA",31000US42380,48987.0,44.1
"Scottsbluff, NE",31000US42420,45933.0,39.3
"Scottsboro, AL",31000US42460,37745.0,42.2
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",31000US42540,46298.0,42.7
"Searcy, AR",31000US42620,42554.0,36.2
"Seattle-Tacoma-Bellevue, WA Metro Area",31000US42660,70475.0,37.0
"Sebastian-Vero Beach, FL",31000US42680,45798.0,50.7
"Sebring, FL Metro Area",31000US42700,35093.0,52.1
"Sedalia, MO",31000US42740,39928.0,37.5
"Selinsgrove, PA",31000US42780,49917.0,39.3
"Selma, AL",31000US42820,27306.0,38.7
"Seneca, SC",31000US42860,41237.0,44.3
"Seneca Falls, NY",31000US42900,49292.0,42.3
"Sevierville, TN",31000US42940,42258.0,42.2
"Seymour, IN",31000US42980,47000.0,38.3
"Shawano, WI Micro Area",31000US43020,46677.0,43.3
"Shawnee, OK",31000US43060,44688.0,37.6
"Sheboygan, WI",31000US43100,53713.0,41.3
"Shelby, NC",31000US43140,39453.0,41.4
"Shelbyville, TN",31000US43180,41984.0,36.6
"Shelton, WA",31000US43220,50406.0,45.4
"Sheridan, WY",31000US43260,55455.0,42.2
"Sherman-Denison, TX",31000US43300,47952.0,40.2
"Show Low, AZ",31000US43320,35921.0,35.7
"Shreveport-Bossier City, LA Metro Area",31000US43340,43551.0,36.5
"Sidney, OH",31000US43380,54550.0,38.9
"Sierra Vista-Douglas, AZ Metro Area",31000US43420,45075.0,40.0
"Sikeston, MO",31000US43460,39162.0,39.7
"Silver City, NM",31000US43500,38311.0,46.5
"Sioux City, IA-NE-SD",31000US43580,50650.0,36.7
"Sioux Falls, SD",31000US43620,57889.0,34.9
"Snyder, TX",31000US43660,56842.0,36.0
"Somerset, KY",31000US43700,34790.0,42.0
"Somerset, PA",31000US43740,44587.0,45.3
"Sonora, CA Micro Area",31000US43760,50306.0,48.6
"South Bend-Mishawaka, IN-MI Metro Area",31000US43780,45650.0,37.9
"Spartanburg, SC",31000US43900,42834.0,38.6
"Spearfish, SD",31000US43940,45548.0,41.5
"Spencer, IA",31000US43980,50389.0,42.2
"Spirit Lake, IA",31000US44020,57265.0,48.7
"Spokane-Spokane Valley, WA Metro Area",31000US44060,49042.0,38.1
"Springfield, IL",31000US44100,56399.0,39.8
"Springfield, MA Metro Area",31000US44140,52759.0,38.0
"Springfield, MO Metro Area",31000US44180,43123.0,36.6
"Springfield, OH",31000US44220,43625.0,41.0
"Starkville, MS",31000US44260,32485.0,25.0
"State College, PA",31000US44300,52186.0,30.3
"Statesboro, GA",31000US44340,36032.0,26.3
"Staunton-Waynesboro, VA Metro Area",31000US44420,49620.0,43.0
"Steamboat Springs, CO Micro Area",31000US44460,64963.0,40.1
"Stephenville, TX",31000US44500,41416.0,30.3
"Sterling, CO",31000US44540,42319.0,37.6
"Sterling, IL",31000US44580,47401.0,42.7
"Stevens Point, WI",31000US44620,51613.0,36.2
"Stillwater, OK",31000US44660,37667.0,27.2
"Stockton-Lodi, CA Metro Area",31000US44700,53274.0,33.5
"Storm Lake, IA",31000US44740,48195.0,35.9
"Sturgis, MI",31000US44780,44449.0,39.2
"Sulphur Springs, TX",31000US44860,44396.0,39.2
"Summerville, GA",31000US44900,32913.0,40.3
"Summit Park, UT Micro Area",31000US44920,91773.0,38.2
"Sumter, SC",31000US44940,41332.0,35.8
"Sunbury, PA",31000US44980,42406.0,43.8
"Susanville, CA",31000US45000,51555.0,37.0
"Sweetwater, TX",31000US45020,37102.0,37.9
"Syracuse, NY Metro Area",31000US45060,53534.0,39.1
"Tahlequah, OK",31000US45140,38694.0,34.8
"Talladega-Sylacauga, AL",31000US45180,34691.0,41.6
"Tallahassee, FL Metro Area",31000US45220,45344.0,32.5
"Tampa-St. Petersburg-Clearwater, FL Metro Area",31000US45300,47085.0,41.8
"Taos, NM",31000US45340,36582.0,46.8
"Taylorville, IL",31000US45380,45334.0,42.0
"Terre Haute, IN",31000US45460,42089.0,38.1
"Texarkana, TX-AR Metro Area",31000US45500,41206.0,38.0
"The Dalles, OR",31000US45520,43422.0,41.0
"The Villages, FL Metro Area",31000US45540,50350.0,65.3
"Thomaston, GA",31000US45580,35774.0,41.5
"Thomasville, GA",31000US45620,36641.0,39.4
"Tiffin, OH",31000US45660,45444.0,39.0
"Tifton, GA",31000US45700,37653.0,35.1
"Toccoa, GA",31000US45740,40315.0,41.2
"Toledo, OH Metro Area",31000US45780,45350.0,37.3
"Topeka, KS",31000US45820,51360.0,39.7
"Torrington, CT",31000US45860,72061.0,46.0
"Traverse City, MI",31000US45900,51125.0,44.5
"Trenton, NJ Metro Area",31000US45940,72804.0,38.4
"Troy, AL",31000US45980,32825.0,31.3
"Truckee-Grass Valley, CA",31000US46020,56521.0,49.0
"Tucson, AZ Metro Area",31000US46060,46162.0,38.0
"Tullahoma-Manchester, TN Micro Area",31000US46100,42447.0,40.8
"Tulsa, OK Metro Area",31000US46140,50023.0,36.8
"Tupelo, MS",31000US46180,41190.0,37.1
"Tuscaloosa, AL",31000US46220,43697.0,33.1
"Twin Falls, ID",31000US46300,43523.0,33.8
"Tyler, TX",31000US46340,46929.0,36.1
"Ukiah, CA",31000US46380,42980.0,42.2
"Union City, TN-KY",31000US46460,38012.0,42.2
"Urbana, OH",31000US46500,50974.0,41.2
"Urban Honolulu, HI Metro Area",31000US46520,74460.0,36.9
"Utica-Rome, NY",31000US46540,47695.0,41.4
"Uvalde, TX",31000US46620,38568.0,34.1
"Valdosta, GA",31000US46660,36220.0,31.0
"Vallejo-Fairfield, CA Metro Area",31000US46700,66828.0,37.3
"Valley, AL",31000US46740,34177.0,43.0
"Van Wert, OH",31000US46780,48060.0,41.5
"Vermillion, SD",31000US46820,36608.0,25.2
"Vernal, UT",31000US46860,66815.0,29.7
"Vernon, TX",31000US46900,41630.0,37.6
"Vicksburg, MS",31000US46980,38044.0,37.2
"Victoria, TX",31000US47020,51700.0,36.4
"Vidalia, GA",31000US47080,34140.0,35.9
"Vincennes, IN",31000US47180,42725.0,39.2
"Vineland-Bridgeton, NJ Metro Area",31000US47220,49984.0,36.9
"Vineyard Haven, MA Micro Area",31000US47240,64222.0,45.9
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",31000US47260,58852.0,35.4
"Visalia-Porterville, CA Metro Area",31000US47300,42031.0,30.3
"Wabash, IN",31000US47340,45649.0,42.4
"Waco, TX",31000US47380,42231.0,33.4
"Wahpeton, ND-MN",31000US47420,54020.0,40.9
"Walla Walla, WA Metro Area",31000US47460,47238.0,37.6
"Wapakoneta, OH",31000US47540,54274.0,41.0
"Warner Robins, GA",31000US47580,50909.0,35.2
"Warren, PA",31000US47620,44020.0,46.2
"Warrensburg, MO",31000US47660,49792.0,29.7
"Warsaw, IN",31000US47700,52821.0,37.9
"Washington, IN",31000US47780,47342.0,35.0
"Washington, NC",31000US47820,40391.0,44.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",31000US47900,92324.0,36.3
"Washington Court House, OH",31000US47920,40503.0,41.1
"Waterloo-Cedar Falls, IA",31000US47940,50793.0,35.8
"Watertown, SD",31000US47980,48912.0,38.0
"Watertown-Fort Atkinson, WI",31000US48020,56877.0,39.1
"Watertown-Fort Drum, NY Metro Area",31000US48060,49505.0,31.8
"Wauchula, FL",31000US48100,35457.0,34.8
"Wausau, WI",31000US48140,54083.0,40.6
"Waycross, GA",31000US48180,36605.0,38.2
"Weatherford, OK",31000US48220,46125.0,30.7
"Weirton-Steubenville, WV-OH Metro Area",31000US48260,42136.0,44.8
"Wenatchee, WA Metro Area",31000US48300,52410.0,38.5
"West Plains, MO",31000US48460,32784.0,40.6
"Wheeling, WV-OH",31000US48540,43212.0,43.8
"Whitewater-Elkhorn, WI Micro Area",31000US48580,53445.0,38.9
"Wichita, KS Metro Area",31000US48620,51424.0,35.4
"Wichita Falls, TX",31000US48660,46277.0,35.2
"Williamsport, PA",31000US48700,47313.0,41.4
"Williston, ND",31000US48780,88013.0,32.6
"Willmar, MN",31000US48820,52632.0,39.9
"Wilmington, NC",31000US48900,49065.0,38.8
"Wilmington, OH",31000US48940,46787.0,39.3
"Wilson, NC",31000US48980,39847.0,39.9
"Winchester, VA-WV",31000US49020,53585.0,40.5
"Winnemucca, NV Micro Area",31000US49080,65212.0,35.3
"Winona, MN",31000US49100,50547.0,33.9
"Winston-Salem, NC Metro Area",31000US49180,44311.0,40.1
"Wisconsin Rapids-Marshfield, WI Micro Area",31000US49220,48961.0,43.4
"Woodward, OK",31000US49260,55300.0,36.1
"Wooster, OH",31000US49300,50383.0,38.8
"Worcester, MA-CT Metro Area",31000US49340,64367.0,39.9
"Worthington, MN",31000US49380,50625.0,36.6
"Yakima, WA",31000US49420,44749.0,32.5
"Yankton, SD",31000US49460,48176.0,40.8
"York-Hanover, PA Metro Area",31000US49620,58269.0,40.7
"Youngstown-Warren-Boardman, OH-PA Metro Area",31000US49660,42609.0,43.5
"Yuba City, CA",31000US49700,49781.0,33.8
"Yuma, AZ",31000US49740,40743.0,33.8
"Zanesville, OH",31000US49780,41130.0,40.3
"Zapata, TX Micro Area",31000US49820,32162.0,29.2
